Jenis_Kelamin,Tinggi_Badan,Berat_Badan,Lahir,Ukur,Umur_Bulan
MALE,155.6,62.1,1960-04-27,1995-08-29,424.0
FEMALE,82.7,11.1,1993-10-27,1995-08-29,22.0
MALE,148.7,50.8,,1995-08-30,
MALE,101.1,17.4,1990-05-31,1995-08-30,63.0
MALE,97.2,13.7,1992-01-09,1995-08-30,43.0
FEMALE,73.0,9.4,1994-05-25,1995-08-30,15.0
MALE,146.7,55.8,1962-03-07,1995-08-30,401.0
MALE,92.7,13.8,1991-06-18,1995-08-30,50.0
MALE,76.5,11.6,1993-10-21,1995-08-30,22.0
FEMALE,157.6,55.3,1965-03-12,1995-08-30,365.0
MALE,89.4,13.4,1991-08-27,1995-08-30,48.0
MALE,76.8,10.3,1993-09-19,1995-08-30,23.0
MALE,143.5,53.5,1976-10-03,1995-08-31,226.0
MALE,47.7,3.1,1995-08-10,1995-08-31,0.0
FEMALE,142.2,55.3,1974-07-23,1995-08-29,253.0
MALE,85.7,12.0,1992-01-13,1995-08-29,43.0
FEMALE,159.2,54.9,1967-08-20,1995-08-29,336.0
FEMALE,95.5,13.6,1991-05-15,1995-08-29,51.0
FEMALE,74.5,9.5,1994-05-16,1995-08-29,15.0
MALE,144.0,45.4,1974-08-09,1995-08-31,252.0
FEMALE,94.5,15.2,1991-04-29,1995-08-31,52.0
MALE,73.4,9.4,1993-12-03,1995-08-31,20.0
FEMALE,145.7,45.4,1975-06-26,1995-08-29,242.0
FEMALE,63.9,7.9,1995-02-09,1995-08-29,6.0
FEMALE,146.0,45.4,1973-01-14,1995-08-31,271.0
FEMALE,75.5,9.5,1993-06-09,1995-08-31,26.0
FEMALE,64.0,7.0,1994-09-03,1995-08-31,11.0
FEMALE,141.9,46.7,1961-04-02,1995-08-29,412.0
FEMALE,85.8,12.1,1992-09-03,1995-08-29,35.0
FEMALE,51.0,4.3,1995-07-23,1995-08-29,1.0
MALE,145.7,54.0,1963-11-17,1995-08-29,381.0
MALE,96.5,16.1,1990-10-25,1995-08-29,58.0
FEMALE,76.0,10.3,1993-09-27,1995-08-29,23.0
FEMALE,138.0,43.1,1964-07-19,1995-08-29,373.0
FEMALE,112.1,19.0,1990-07-14,1995-08-29,61.0
MALE,100.8,16.1,1991-10-12,1995-08-29,46.0
FEMALE,135.9,38.1,1976-02-10,1995-08-29,234.0
MALE,144.0,46.7,1973-01-07,1995-08-29,271.0
MALE,87.2,12.1,1992-05-20,1995-08-29,39.0
MALE,70.5,7.5,1993-11-30,1995-08-29,21.0
MALE,999.0,453.1,1972-05-20,,
MALE,82.0,11.8,1992-08-10,1995-08-29,36.0
FEMALE,999.0,453.1,1960-02-12,,
FEMALE,78.0,10.7,1992-11-22,1995-08-31,33.0
FEMALE,48.5,3.9,1995-08-27,1995-08-31,0.0
FEMALE,147.5,62.1,1963-01-10,1995-08-28,391.0
FEMALE,95.5,12.1,1991-10-14,1995-08-29,46.0
MALE,66.0,8.3,1995-02-02,1995-08-29,6.0
FEMALE,142.0,51.7,1964-09-30,1995-08-28,371.0
FEMALE,74.4,9.2,1993-06-28,1995-08-28,26.0
MALE,151.4,49.4,1969-05-24,1995-08-28,315.0
FEMALE,53.0,5.2,1995-07-12,1995-08-28,1.0
MALE,161.6,51.3,1969-10-22,1995-08-28,310.0
FEMALE,105.3,15.9,1990-02-18,1995-08-28,66.0
MALE,89.4,11.3,1992-05-10,1995-08-28,39.0
FEMALE,72.0,8.7,1994-07-09,1995-08-28,13.0
FEMALE,149.9,62.1,1972-10-23,1995-08-28,274.0
MALE,102.5,18.1,1990-06-11,1995-08-28,62.0
MALE,95.9,15.6,1992-10-09,1995-08-28,34.0
MALE,78.5,12.0,1993-09-11,1995-08-28,23.0
MALE,999.0,453.1,,,
MALE,104.0,18.0,1990-10-04,1995-08-30,58.0
MALE,75.5,10.2,1993-08-04,1995-08-30,24.0
MALE,146.6,45.4,,1995-08-25,
MALE,91.6,12.5,,1995-08-25,
FEMALE,73.6,9.3,,1995-08-25,
FEMALE,58.4,5.6,1995-05-27,1995-08-25,3.0
MALE,148.6,47.2,1963-11-17,1995-08-28,381.0
FEMALE,80.9,9.5,1993-01-26,1995-08-28,31.0
FEMALE,142.6,49.4,1970-07-05,1995-08-25,301.0
FEMALE,95.2,14.6,1991-06-25,1995-08-25,50.0
FEMALE,78.5,10.1,1993-10-03,1995-08-25,22.0
MALE,146.9,54.9,1962-07-15,1995-08-28,397.0
FEMALE,93.7,14.6,,1995-08-28,
MALE,75.1,9.8,1993-09-10,1995-08-28,23.0
FEMALE,145.2,42.6,1972-02-20,1995-08-25,282.0
FEMALE,83.4,11.1,1992-12-30,1995-08-25,32.0
FEMALE,64.0,7.5,1994-09-18,1995-08-25,11.0
MALE,152.1,59.0,1960-10-08,1995-08-25,418.0
FEMALE,95.5,13.9,1991-12-24,1995-08-25,44.0
MALE,70.8,9.1,,1995-08-25,
FEMALE,154.6,44.0,1971-06-30,1995-08-24,290.0
MALE,58.2,5.7,1995-02-25,1995-08-24,6.0
FEMALE,150.6,44.0,1976-04-27,1995-08-24,232.0
MALE,69.8,9.3,1994-10-23,1995-08-24,10.0
MALE,140.8,44.5,1975-02-26,1995-08-24,246.0
FEMALE,86.9,11.7,1992-04-15,1995-08-24,40.0
MALE,50.2,4.7,1995-07-07,1995-08-24,1.0
FEMALE,144.4,57.6,1973-03-11,1995-08-24,269.0
FEMALE,99.8,14.5,1990-10-05,1995-08-24,58.0
FEMALE,146.4,55.8,1971-05-10,1995-08-24,291.0
FEMALE,91.8,13.0,1990-11-09,1995-08-24,57.0
FEMALE,79.0,10.1,1993-03-04,1995-08-24,29.0
FEMALE,150.0,62.6,1960-09-10,1995-08-31,419.0
FEMALE,70.0,8.5,1994-10-17,1995-08-31,10.0
FEMALE,149.0,44.9,1968-09-30,1995-09-01,324.0
